,OBJECTID,STAT_CAUSE_DESCR,STATE,Date_Discovery,Date_Contained,FIRE_YEAR,FIRE_SIZE,LATITUDE,LONGITUDE,Duration
54,55,Lightning,WA,6/19/2005,6/20/2005,2005,0.3,46.22083333,-117.785,1
118,120,Campfire,WA,7/16/2005,7/16/2005,2005,0.1,46.08055556,-117.89083329999998,0
931,933,Railroad,WA,5/26/2005,5/26/2005,2005,0.1,45.665,-121.2036111,0
937,939,Miscellaneous,WA,8/3/2005,8/3/2005,2005,0.1,48.35666667,-117.06083329999998,0
965,967,Railroad,WA,7/4/2005,7/4/2005,2005,0.1,45.69944444,-121.4136111,0
1058,1060,Lightning,WA,8/1/2005,8/1/2005,2005,0.1,46.10555556,-117.7888889,0
1104,1106,Equipment Use,WA,6/10/2005,6/10/2005,2005,1.0,45.715,-121.3483333,0
1180,1182,Equipment Use,WA,6/14/2005,6/14/2005,2005,1.0,45.66416667,-121.01083329999999,0
1185,1187,Children,WA,6/30/2005,6/30/2005,2005,0.5,45.66222222,-120.91583329999999,0
1241,1243,Miscellaneous,WA,7/4/2005,7/4/2005,2005,0.1,45.70222222,-121.7525,0
1631,1643,Miscellaneous,WA,8/28/2005,8/29/2005,2005,7.0,45.78694444,-121.40083329999999,1
1632,1644,Railroad,WA,7/28/2005,7/28/2005,2005,3.0,45.63305556,-121.1113889,0
1651,1663,Smoking,WA,8/6/2005,8/7/2005,2005,2.0,45.7,-121.72388889999999,1
2034,2049,Lightning,WA,8/10/2005,8/11/2005,2005,0.3,48.70666667,-117.0983333,1
2040,2055,Lightning,WA,8/10/2005,8/12/2005,2005,1.0,48.82333333,-117.05444440000001,2
2045,2060,Lightning,WA,8/10/2005,8/10/2005,2005,0.1,48.80111111,-117.06194440000002,0
3198,3214,Campfire,WA,9/25/2005,9/25/2005,2005,0.1,46.08638889,-121.60166670000001,0
3202,3218,Campfire,WA,8/13/2005,8/13/2005,2005,0.1,45.94277778,-121.72694440000001,0
3329,3345,Campfire,WA,7/31/2005,7/31/2005,2005,0.1,45.95194444,-121.7102778,0
3412,3428,Campfire,WA,8/25/2005,8/25/2005,2005,0.1,46.09277778,-121.76305559999999,0
3413,3429,Campfire,WA,8/13/2005,8/13/2005,2005,0.1,47.81555556,-122.96472220000001,0
3418,3434,Campfire,WA,8/1/2005,8/1/2005,2005,0.1,45.93888889,-121.76666670000002,0
3419,3435,Miscellaneous,WA,8/27/2005,8/27/2005,2005,0.1,46.01333333,-121.8336111,0
3577,3593,Campfire,WA,8/20/2005,8/20/2005,2005,0.1,47.99027778,-123.0161111,0
3578,3594,Campfire,WA,8/28/2005,8/28/2005,2005,0.1,47.40611111,-123.43444440000002,0
3579,3595,Campfire,WA,9/20/2005,9/21/2005,2005,0.1,47.9475,-123.1527778,1
3580,3596,Miscellaneous,WA,9/9/2005,9/11/2005,2005,0.1,47.32833333,-123.79194440000002,2
3583,3599,Campfire,WA,7/31/2005,7/31/2005,2005,0.1,48.06666667,-124.11416670000001,0
3584,3600,Campfire,WA,9/24/2005,9/25/2005,2005,0.1,47.7625,-123.10694440000002,1
3586,3602,Campfire,WA,5/7/2005,5/7/2005,2005,0.1,47.56972222,-121.66666670000001,0
3708,3724,Campfire,WA,5/8/2005,5/8/2005,2005,0.1,47.54055556,-121.58166670000001,0
3710,3726,Campfire,WA,5/30/2005,5/30/2005,2005,0.1,47.67944444,-121.31194440000002,0
3749,3765,Campfire,WA,5/29/2005,5/29/2005,2005,0.1,47.38055556,-121.39083329999998,0
3752,3768,Campfire,WA,6/4/2005,6/4/2005,2005,0.1,47.03194444,-121.71666670000002,0
3755,3771,Miscellaneous,WA,7/5/2005,7/6/2005,2005,3.0,47.39527778,-121.56055559999999,1
3774,3790,Campfire,WA,7/3/2005,7/3/2005,2005,0.1,47.04666667,-121.65333329999999,0
3852,3868,Miscellaneous,WA,8/5/2005,10/1/2005,2005,52000.0,46.23444444,-117.68055559999999,57
3875,3891,Miscellaneous,WA,3/12/2005,3/13/2005,2005,1.0,46.77444444,-121.0647222,1
3886,3902,Campfire,WA,7/19/2005,7/20/2005,2005,0.1,46.92888889,-121.35694440000002,1
3899,3915,Campfire,WA,7/14/2005,7/14/2005,2005,0.1,48.24777778,-121.30833329999999,0
3900,3916,Campfire,WA,7/25/2005,7/25/2005,2005,0.1,46.98833333,-121.05,0
3903,3919,Campfire,WA,7/24/2005,7/24/2005,2005,0.1,47.27888889,-121.3483333,0
3907,3923,Arson,WA,8/6/2005,8/6/2005,2005,0.1,47.03194444,-121.73805559999998,0
3915,3931,Campfire,WA,8/6/2005,8/6/2005,2005,0.1,47.39527778,-121.53916670000001,0
3917,3933,Campfire,WA,8/7/2005,8/7/2005,2005,0.1,47.39527778,-121.51805559999998,0
3921,3937,Miscellaneous,WA,8/14/2005,8/15/2005,2005,0.1,47.06138889,-121.71666670000002,1
3938,3954,Campfire,WA,8/18/2005,8/18/2005,2005,0.1,48.11916667,-121.58722220000001,0
3941,3957,Campfire,WA,8/28/2005,8/28/2005,2005,0.1,47.665,-121.3125,0
3945,3961,Campfire,WA,8/13/2005,8/13/2005,2005,0.1,47.36611111,-121.53916670000001,0
3952,3968,Campfire,WA,8/22/2005,8/22/2005,2005,0.1,48.09055556,-121.54444440000002,0
3959,3975,Campfire,WA,8/25/2005,8/25/2005,2005,0.1,48.07611111,-121.52305559999999,0
3962,3978,Campfire,WA,9/1/2005,9/1/2005,2005,0.1,48.07611111,-121.6516667,0
3973,3989,Campfire,WA,9/5/2005,9/5/2005,2005,0.1,48.07222222,-121.52166670000001,0
3976,3992,Equipment Use,WA,8/9/2005,8/9/2005,2005,0.1,47.70777778,-121.0786111,0
4006,4022,Campfire,WA,8/15/2005,8/15/2005,2005,0.1,47.39527778,-121.53916670000001,0
4010,4026,Campfire,WA,9/5/2005,9/5/2005,2005,0.1,47.13388889,-121.60694440000002,0
4012,4028,Campfire,WA,9/18/2005,9/18/2005,2005,0.1,47.13361111,-121.58583329999999,0
4019,4035,Campfire,WA,9/25/2005,9/25/2005,2005,0.1,47.30777778,-121.3483333,0
4177,4193,Campfire,WA,8/12/2005,8/12/2005,2005,0.1,46.6625,-121.7275,0
4590,4607,Campfire,WA,8/20/2005,8/20/2005,2005,0.1,45.95527778,-121.755,0
4619,4636,Miscellaneous,WA,4/10/2005,4/10/2005,2005,0.1,48.27222222,-117.42194440000002,0
4802,4819,Campfire,WA,8/21/2005,8/21/2005,2005,0.1,45.95527778,-121.75444440000001,0
4814,4831,Campfire,WA,8/23/2005,8/25/2005,2005,0.5,46.41833333,-121.4469444,2
4821,4838,Smoking,WA,8/22/2005,8/22/2005,2005,0.1,46.05833333,-121.61666670000001,0
4829,4846,Campfire,WA,8/27/2005,8/27/2005,2005,0.1,46.60083333,-121.6538889,0
4836,4853,Smoking,WA,8/29/2005,8/29/2005,2005,0.1,46.34916667,-121.595,0
4844,4861,Campfire,WA,9/4/2005,9/4/2005,2005,0.1,46.45,-121.83333329999999,0
4848,4865,Smoking,WA,9/3/2005,9/4/2005,2005,0.1,46.01861111,-121.7463889,1
4849,4866,Smoking,WA,9/3/2005,9/3/2005,2005,0.1,46.53833333,-121.93,0
4851,4868,Campfire,WA,7/31/2005,7/31/2005,2005,0.1,46.05166667,-121.68694440000002,0
4874,4891,Smoking,WA,7/19/2005,7/19/2005,2005,0.1,45.98805556,-121.66333329999999,0
4880,4897,Campfire,WA,9/20/2005,9/20/2005,2005,0.1,46.17388889,-121.55138889999999,0
4882,4899,Campfire,WA,9/21/2005,9/21/2005,2005,0.1,46.04444444,-121.74083329999999,0
4884,4901,Lightning,WA,9/27/2005,9/28/2005,2005,1.0,45.8425,-121.93305559999999,1
4960,4977,Lightning,WA,5/16/2005,5/16/2005,2005,0.01,48.61944444,-118.13611110000001,0
4968,4985,Miscellaneous,WA,6/10/2005,6/13/2005,2005,0.1,48.56138889,-118.63555559999999,3
4971,4988,Equipment Use,WA,7/29/2005,7/30/2005,2005,0.3,48.67694444,-118.57916670000002,1
4981,4998,Lightning,WA,8/1/2005,8/1/2005,2005,0.01,48.39083333,-117.63305559999999,0
4983,5000,Lightning,WA,8/2/2005,8/2/2005,2005,0.01,48.35694444,-117.6147222,0
4987,5004,Lightning,WA,8/2/2005,8/3/2005,2005,0.01,48.88055556,-117.40694440000001,1
4990,5007,Smoking,WA,8/6/2005,8/6/2005,2005,0.2,48.64861111,-117.7463889,0
4993,5010,Lightning,WA,8/9/2005,8/11/2005,2005,0.2,48.86194444,-117.24833329999998,2
5001,5018,Lightning,WA,8/9/2005,8/12/2005,2005,0.75,48.86111111,-117.24416670000001,3
5115,5133,Campfire,WA,8/6/2005,8/6/2005,2005,0.1,46.2675,-121.99333329999999,0
5117,5135,Campfire,WA,8/28/2005,8/28/2005,2005,0.1,46.15055556,-122.3011111,0
5285,5303,Lightning,WA,8/10/2005,8/11/2005,2005,0.3,48.75972222,-117.35416670000001,1
5289,5307,Lightning,WA,8/10/2005,8/10/2005,2005,0.2,48.87222222,-117.24416670000001,0
5296,5314,Lightning,WA,8/10/2005,8/10/2005,2005,0.01,48.76,-117.3411111,0
5298,5316,Lightning,WA,8/10/2005,8/10/2005,2005,0.1,48.86694444,-117.21944440000001,0
5300,5318,Lightning,WA,8/10/2005,8/10/2005,2005,0.1,48.85638889,-117.1261111,0
5302,5320,Lightning,WA,8/10/2005,8/11/2005,2005,0.1,48.7775,-117.3361111,1
5304,5322,Lightning,WA,8/10/2005,8/10/2005,2005,0.01,48.98194444,-117.44611110000001,0
5305,5323,Lightning,WA,8/10/2005,8/11/2005,2005,0.3,48.77611111,-117.34083329999999,1
5308,5326,Lightning,WA,8/10/2005,8/13/2005,2005,0.01,48.57027778,-118.1947222,3
5311,5329,Lightning,WA,8/10/2005,8/11/2005,2005,2.0,48.96444444,-118.1647222,1
5315,5333,Lightning,WA,8/10/2005,8/11/2005,2005,0.5,47.51555556,-118.2488889,1
5316,5334,Lightning,WA,8/10/2005,8/11/2005,2005,0.75,48.57333333,-118.38833329999999,1
5319,5337,Lightning,WA,8/10/2005,8/13/2005,2005,0.75,48.78027778,-117.2363889,3
5321,5339,Lightning,WA,8/11/2005,8/12/2005,2005,0.2,48.99166667,-118.29333329999999,1
5322,5340,Lightning,WA,8/13/2005,8/13/2005,2005,0.1,48.82944444,-117.14694440000001,0
5323,5341,Lightning,WA,8/13/2005,8/13/2005,2005,0.01,48.39083333,-117.6663889,0
5324,5342,Lightning,WA,8/12/2005,8/13/2005,2005,0.25,48.44777778,-117.20888889999999,1
5326,5344,Lightning,WA,8/13/2005,8/13/2005,2005,0.1,48.76388889,-117.19944440000002,0
5347,5365,Lightning,WA,8/13/2005,8/13/2005,2005,0.75,48.81222222,-118.2536111,0
5351,5369,Lightning,WA,8/14/2005,8/14/2005,2005,0.1,48.89416667,-117.4188889,0
5352,5370,Lightning,WA,8/14/2005,8/15/2005,2005,0.25,48.96166667,-117.22,1
5364,5382,Lightning,WA,8/14/2005,8/14/2005,2005,0.25,48.70333333,-118.2625,0
5365,5383,Lightning,WA,8/14/2005,8/15/2005,2005,0.5,48.68861111,-117.23444440000002,1
5565,5583,Lightning,WA,8/15/2005,8/15/2005,2005,0.01,48.87944444,-118.3761111,0
5571,5589,Lightning,WA,8/24/2005,8/24/2005,2005,0.2,48.84222222,-118.29305559999999,0
5576,5594,Lightning,WA,8/25/2005,8/25/2005,2005,0.01,48.61138889,-118.4452778,0
5583,5601,Arson,WA,8/26/2005,8/26/2005,2005,0.75,48.64666667,-117.7663889,0
5588,5606,Miscellaneous,WA,9/5/2005,9/5/2005,2005,0.01,48.59055556,-118.22694440000001,0
5597,5615,Lightning,WA,9/29/2005,9/30/2005,2005,1.5,48.92166667,-117.55388889999999,1
5601,5619,Miscellaneous,WA,10/12/2005,10/12/2005,2005,0.1,48.73583333,-118.515,0
5720,5749,Children,WA,8/28/2005,8/28/2005,2005,0.01,48.31277778,-120.27722220000001,0
5764,5793,Lightning,WA,8/10/2005,8/10/2005,2005,0.25,48.64722222,-119.78777779999999,0
5772,5801,Lightning,WA,8/10/2005,8/11/2005,2005,0.1,48.54055556,-119.9477778,1
5779,5808,Debris Burning,WA,4/15/2005,4/15/2005,2005,0.25,48.52638889,-119.83666670000001,0
5786,5815,Lightning,WA,8/10/2005,8/11/2005,2005,0.1,48.53805556,-119.9563889,1
5788,5817,Lightning,WA,5/21/2005,5/21/2005,2005,0.03,48.29972222,-120.05666670000001,0
5796,5825,Lightning,WA,8/11/2005,8/12/2005,2005,0.25,48.67611111,-119.90805559999998,1
5798,5827,Campfire,WA,5/28/2005,5/28/2005,2005,0.01,47.97388889,-120.15944440000001,0
5806,5835,Lightning,WA,8/29/2005,8/30/2005,2005,0.1,48.48194444,-118.8911111,1
5810,5839,Lightning,WA,5/30/2005,5/30/2005,2005,0.1,47.82861111,-120.51083329999999,0
5822,5851,Lightning,WA,5/30/2005,5/30/2005,2005,0.13,48.48611111,-120.07055559999999,0
5834,5863,Lightning,WA,8/29/2005,8/31/2005,2005,0.1,48.48222222,-118.90833329999998,2
5837,5866,Lightning,WA,5/30/2005,5/30/2005,2005,0.1,48.48277778,-120.0588889,0
5844,5873,Campfire,WA,8/27/2005,8/27/2005,2005,0.1,47.95722222,-120.53444440000001,0
5849,5878,Lightning,WA,6/21/2005,6/22/2005,2005,0.02,48.62361111,-120.3347222,1
5853,5882,Lightning,WA,8/29/2005,8/29/2005,2005,0.1,48.53111111,-118.9436111,0
5866,5895,Lightning,WA,9/9/2005,9/10/2005,2005,0.3,48.10416667,-120.2697222,1
5871,5900,Equipment Use,WA,9/22/2005,9/22/2005,2005,0.3,47.74805556,-120.26555559999998,0
5874,5903,Lightning,WA,9/2/2005,9/2/2005,2005,0.25,48.88111111,-119.0161111,0
5875,5904,Campfire,WA,10/16/2005,10/16/2005,2005,0.1,48.5525,-120.2902778,0
5876,5905,Campfire,WA,10/20/2005,10/20/2005,2005,0.1,48.2975,-120.20083329999999,0
5897,5926,Lightning,WA,6/21/2005,6/21/2005,2005,0.1,48.5975,-120.23555559999998,0
5901,5930,Lightning,WA,8/10/2005,8/10/2005,2005,1.0,48.44666667,-119.8511111,0
5902,5931,Smoking,WA,7/11/2005,7/11/2005,2005,0.03,48.27805556,-120.28916670000001,0
5904,5933,Lightning,WA,8/10/2005,8/11/2005,2005,0.1,48.49861111,-119.92666670000001,1
5908,5937,Lightning,WA,8/10/2005,8/10/2005,2005,0.1,48.43416667,-119.8463889,0
5913,5942,Lightning,WA,8/11/2005,8/12/2005,2005,0.1,48.51833333,-119.975,1
5915,5944,Lightning,WA,8/10/2005,8/10/2005,2005,0.25,48.49444444,-119.92305559999998,0
5918,5947,Lightning,WA,8/11/2005,8/11/2005,2005,1.0,48.71972222,-120.17444440000001,0
5920,5949,Lightning,WA,8/10/2005,8/10/2005,2005,0.25,48.49944444,-119.92083329999998,0
5924,5953,Miscellaneous,WA,9/7/2005,9/8/2005,2005,40.0,47.97472222,-120.1525,1
5926,5955,Miscellaneous,WA,7/30/2005,7/30/2005,2005,0.1,47.4175,-120.9363889,0
5929,5958,Miscellaneous,WA,8/10/2005,8/10/2005,2005,0.1,47.32583333,-121.33694440000001,0
5932,5961,Miscellaneous,WA,8/13/2005,8/15/2005,2005,2.0,47.25555556,-120.7061111,2
5934,5963,Campfire,WA,8/27/2005,8/27/2005,2005,0.1,47.28138889,-120.58416670000001,0
5935,5964,Lightning,WA,6/22/2005,6/22/2005,2005,0.01,48.89027778,-118.855,0
5936,5965,Campfire,WA,9/17/2005,9/19/2005,2005,0.1,47.4175,-121.32833329999998,2
5938,5967,Miscellaneous,WA,10/1/2005,10/1/2005,2005,0.1,47.18361111,-120.5438889,0
5939,5968,Campfire,WA,10/17/2005,10/17/2005,2005,0.1,47.18388889,-120.61,0
5940,5969,Lightning,WA,8/9/2005,8/11/2005,2005,1.0,48.62777778,-119.94944440000002,2
5950,5979,Lightning,WA,8/9/2005,8/9/2005,2005,0.1,48.73833333,-119.9152778,0
5951,5980,Miscellaneous,WA,7/3/2005,7/3/2005,2005,0.1,47.29805556,-121.24194440000001,0
5952,5981,Campfire,WA,7/18/2005,7/18/2005,2005,0.1,47.26888889,-121.17888889999999,0
5969,5998,Lightning,WA,6/19/2005,6/19/2005,2005,0.1,47.7425,-121.1425,0
6977,6007,Equipment Use,WA,9/9/2005,9/9/2005,2005,0.1,46.67388889,-121.08444440000001,0
6980,6010,Miscellaneous,WA,7/30/2005,8/1/2005,2005,1.5,46.88027778,-121.27416670000001,2
6982,6012,Smoking,WA,8/22/2005,8/22/2005,2005,0.1,47.02694444,-121.1525,0
6987,6017,Miscellaneous,WA,7/3/2005,7/3/2005,2005,0.1,46.87333333,-121.0602778,0
6988,6018,Campfire,WA,8/14/2005,8/14/2005,2005,0.1,46.63944444,-121.24944440000002,0
6991,6021,Arson,WA,7/28/2005,7/28/2005,2005,2.5,46.60833333,-121.16916670000002,0
6992,6022,Campfire,WA,6/4/2005,6/4/2005,2005,0.1,46.85,-121.00861110000001,0
6999,6029,Campfire,WA,5/28/2005,5/28/2005,2005,0.1,46.64083333,-121.065,0
7004,6034,Equipment Use,WA,7/8/2005,7/8/2005,2005,1.6,47.76666667,-120.0936111,0
7008,6038,Equipment Use,WA,7/27/2005,7/27/2005,2005,2.0,47.77027778,-120.16916670000002,0
7010,6040,Campfire,WA,3/23/2005,3/23/2005,2005,0.1,47.38472222,-120.4861111,0
7013,6043,Equipment Use,WA,4/26/2005,4/26/2005,2005,0.01,47.50305556,-120.6561111,0
7029,6059,Campfire,WA,8/22/2005,8/23/2005,2005,0.1,46.86944444,-121.30444440000001,1
7031,6061,Smoking,WA,8/28/2005,8/28/2005,2005,0.1,47.10555556,-121.2672222,0
7032,6062,Miscellaneous,WA,8/14/2005,8/14/2005,2005,0.1,46.88111111,-121.27138889999999,0
7034,6064,Debris Burning,WA,4/9/2005,4/10/2005,2005,1.0,47.38472222,-120.4861111,1
7036,6066,Lightning,WA,5/26/2005,5/26/2005,2005,2.1,47.41333333,-120.46583329999999,0
7038,6068,Miscellaneous,WA,6/10/2005,6/10/2005,2005,0.1,47.36916667,-120.5891667,0
